conversation_id,date,hashtags,id,language,link,name,nlikes,nreplies,nretweets,photos,retweet,source,thumbnail,tweet,twitter_handle,urls,username,video,run_time,time_since_tweet,total,average_nreactions,cut_off
1400095398606172161,2021-06-02 15:22:10,['vanguardnews'],1400095398606172161,en,https://twitter.com/vanguardngrnews/status/1400095398606172161,Vanguard Newspapers,18,6,2,['https://pbs.twimg.com/media/E24jWEqUcAQK7wi.jpg'],False,,https://pbs.twimg.com/media/E24jWEqUcAQK7wi.jpg,A look at Buhari’s hailers and his haters  https://t.co/uTS3NfoXPA #vanguardnews  https://t.co/98nGd28vFA,vanguardngrnews,['https://www.vanguardngr.com/2021/06/a-look-at-buharis-hailers-and-his-haters/?utm_source=dlvr.it&utm_medium=twitter'],vanguardngrnews,1,2021-06-02 16:02:48,40.63333333333333,26,113.2608695652174,90.60869565217392
1400095434484314113,2021-06-02 15:22:18,['vanguardnews'],1400095434484314113,en,https://twitter.com/vanguardngrnews/status/1400095434484314113,Vanguard Newspapers,15,4,7,['https://pbs.twimg.com/media/E24jYLEVEAcPNI9.jpg'],False,,https://pbs.twimg.com/media/E24jYLEVEAcPNI9.jpg,JTF arrests 10 suspects over attacks on security formations in Akwa Ibom  https://t.co/ioSuCVqfNq #vanguardnews  https://t.co/6jpGYroWTx,vanguardngrnews,['https://www.vanguardngr.com/2021/06/jtf-arrests-10-suspects-over-attacks-on-security-formations-in-akwa-ibom/?utm_source=dlvr.it&utm_medium=twitter'],vanguardngrnews,1,2021-06-02 16:02:48,40.5,26,113.2608695652174,90.60869565217392
1400095409821798402,2021-06-02 15:22:12,['vanguardnews'],1400095409821798402,en,https://twitter.com/vanguardngrnews/status/1400095409821798402,Vanguard Newspapers,21,1,3,['https://pbs.twimg.com/media/E24jWwMUUAElLtc.jpg'],False,,https://pbs.twimg.com/media/E24jWwMUUAElLtc.jpg,"LASG pays over N32bn to 7,998 retirees in 2 years  https://t.co/a2WyDdy58n #vanguardnews  https://t.co/9RgmEaxLDr",vanguardngrnews,['https://www.vanguardngr.com/2021/06/lasg-pays-over-n32bn-to-7998-retirees-in-2-years/?utm_source=dlvr.it&utm_medium=twitter'],vanguardngrnews,1,2021-06-02 16:02:48,40.6,25,113.2608695652174,90.60869565217392
1400095385473798144,2021-06-02 15:22:07,['vanguardnews'],1400095385473798144,en,https://twitter.com/vanguardngrnews/status/1400095385473798144,Vanguard Newspapers,5,1,0,['https://pbs.twimg.com/media/E24jVVrVIAUNu8v.jpg'],False,,https://pbs.twimg.com/media/E24jVVrVIAUNu8v.jpg,"How Josephine Oboh-Macleod wields art as tool to reduce racism, classism  https://t.co/ynwcyWYT0d #vanguardnews  https://t.co/D2zmbwkxg2",vanguardngrnews,['https://www.vanguardngr.com/2021/06/how-josephine-oboh-macleod-wields-art-as-tool-to-reduce-racism-classism/?utm_source=dlvr.it&utm_medium=twitter'],vanguardngrnews,1,2021-06-02 16:02:48,40.68333333333333,6,113.2608695652174,90.60869565217392
1400095426968100868,2021-06-02 15:22:16,['vanguardnews'],1400095426968100868,en,https://twitter.com/vanguardngrnews/status/1400095426968100868,Vanguard Newspapers,11,0,3,['https://pbs.twimg.com/media/E24jXvXVcAEFDLv.jpg'],False,,https://pbs.twimg.com/media/E24jXvXVcAEFDLv.jpg,"FG assures commitment to implement 2020 zonal intervention, constituency projects  https://t.co/GeGQZFuOaG #vanguardnews  https://t.co/ynPaz2PEoM",vanguardngrnews,['https://www.vanguardngr.com/2021/06/fg-assures-commitment-to-implement-2020-zonal-intervention-constituency-projects/?utm_source=dlvr.it&utm_medium=twitter'],vanguardngrnews,1,2021-06-02 16:02:48,40.53333333333333,14,113.2608695652174,90.60869565217392
1400097135580925954,2021-06-02 15:29:04,[],1400097135580925954,en,https://twitter.com/WIRED/status/1400097135580925954,WIRED,46,0,17,[],False,,,VR therapy is giving OCD patients the courage to face their fears.  https://t.co/RmsXcso1I7,WIRED,['https://wired.trib.al/xrHEQuh'],WIRED,0,2021-06-02 16:02:48,33.733333333333334,63,216.84615384615384,173.47692307692307
1400097407455670272,2021-06-02 15:30:09,[],1400097407455670272,en,https://twitter.com/mashable/status/1400097407455670272,Mashable,5,0,3,[],False,,,Big love for 'The Bold Type' — save for one tiny change we wish we could make.  https://t.co/mFxHn1JJOO,mashable,['https://mashable.com/article/the-bold-type-media-industry/?taid=60b795f1ca44bd000180beb2&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter'],mashable,0,2021-06-02 16:02:48,32.65,8,83.0,66.4
1400094876474167301,2021-06-02 15:20:05,[],1400094876474167301,en,https://twitter.com/mashable/status/1400094876474167301,Mashable,13,0,6,['https://pbs.twimg.com/media/E24i3qvXEAAVx9h.png'],False,,https://pbs.twimg.com/media/E24i3qvXEAAVx9h.png,Lyft redesigns its electric bicycle with built-in screen and speakers  https://t.co/zqXg7kBsfb  https://t.co/ZziUFrMifa,mashable,['https://mashable.com/article/lyft-new-electric-bicycle/'],mashable,1,2021-06-02 16:02:48,42.71666666666667,19,83.0,66.4
1400095774831222800,2021-06-02 15:23:39,[],1400095774831222800,en,https://twitter.com/verge/status/1400095774831222800,The Verge,215,16,26,['https://pbs.twimg.com/media/E24jr-SWQAQ_kZk.jpg'],False,,https://pbs.twimg.com/media/E24jr-SWQAQ_kZk.jpg,"Nintendo’s E3 event will be ""focused exclusively"" on Switch games  https://t.co/aYVJUhPnTJ  https://t.co/poFezk7MBg",verge,['https://www.theverge.com/2021/6/2/22464828/nintendo-e3-event-june-15th-software-exclusive?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter'],verge,1,2021-06-02 16:02:48,39.15,257,139.95652173913044,111.96521739130435
1400094876881068033,2021-06-02 15:20:05,[],1400094876881068033,en,https://twitter.com/DailyMailUK/status/1400094876881068033,Daily Mail U.K.,9,6,2,[],False,,,Naomi Osaka WON'T be given special treatment at Wimbledon this month  https://t.co/pWqYE6Qk7F,dailymailuk,['https://trib.al/3TVyc39'],DailyMailUK,0,2021-06-02 16:02:48,42.71666666666667,17,104.375,83.5
